OldName newName
5-1	1a
5-2	1b
5-3	1c
5-4	1d
5-21	1e
5-22	1f
5-23	1g
5-24	1h
5-41	1i
5-42	1j
7-4	2a
7-5	2b
7-6	2c
7-17	2d
7-19	2e
7-24	2f
7-25	2g
7-36	2h
7-41	2i
7-48	2j
17-3	3a
17-4	3b
17-7	3c
17-9	3d
17-29	3e
17-30	3f
17-35	3g
17-39	3h
17-49	3i
17-50	3j
19-2	4a
19-7	4b
19-16	4c
19-25	4d
19-28	4e
19-33	4f
19-36	4g
19-44	4h
19-45	4i
19-49	4j
20-1	5a
20-2	5b
20-15	5c
20-16	5d
20-23	5e
20-30	5f
20-42	5g
20-45	5h
20-48	5i
20-49	5j
21-1	6a
21-2	6b
21-3	6c
21-4	6d
21-5	6e
21-6	6f
21-7	6g
21-8	6h
21-9	6i
21-10	6j
51-3	7a
51-7	7b
51-14	7c
51-18	7d
51-19	7e
51-20	7f
51-32	7g
51-33	7h
51-41	7i
51-47	7j
60-8	8a
60-11	8b
60-12	8c
60-15	8d
60-25	8e
60-26	8f
60-28	8g
60-34	8h
60-35	8i
60-50	8j
