ContigId,ContigLength,ContigCoverage,circle,fill
8j_contig_1,446705,60.925871,black,grey
8j_contig_2,407000,72.916697,black,grey
8j_contig_3,390319,63.167076,black,grey
8j_contig_4,293371,69.633477,black,grey
8j_contig_5,277309,66.384512,black,grey
8j_contig_6,258951,67.031888,black,grey
8j_contig_7,244667,64.036792,black,grey
8j_contig_8,243542,68.650681,black,grey
8j_contig_9,226351,66.960429,black,grey
8j_contig_10,224935,68.672918,black,grey
8j_contig_11,176105,64.808070,black,grey
8j_contig_12,172090,63.859040,black,grey
8j_contig_13,166043,69.058367,black,grey
8j_contig_14,165925,64.032723,black,grey
8j_contig_15,150972,66.479287,black,grey
8j_contig_16,149115,71.057448,black,grey
8j_contig_17,139493,64.655075,black,grey
8j_contig_18,135100,69.263014,black,grey
8j_contig_19,130718,65.162001,black,grey
8j_contig_20,123832,71.426738,black,grey
8j_contig_21,115778,70.958263,black,grey
8j_contig_22,111305,75.380210,black,grey
8j_contig_23,107196,66.413064,black,grey
8j_contig_24,95108,68.776747,black,grey
8j_contig_25,95010,66.538127,black,grey
8j_contig_26,94639,64.473002,black,grey
8j_contig_27,91518,70.512483,black,grey
8j_contig_28,87526,62.608961,black,grey
8j_contig_29,80602,69.060677,black,grey
8j_contig_30,79618,65.106926,black,grey
8j_contig_31,68156,67.440944,black,grey
8j_contig_32,65062,67.048657,black,grey
8j_contig_33,62267,69.998472,black,grey
8j_contig_34,61516,66.863637,black,grey
8j_contig_35,54891,68.631262,black,grey
8j_contig_36,53180,67.078056,black,grey
8j_contig_37,52926,73.417170,black,grey
8j_contig_38,50453,73.153942,black,grey
8j_contig_39,47758,76.110002,black,grey
8j_contig_40,43808,66.443758,black,grey
8j_contig_41,38784,77.531558,black,grey
8j_contig_42,35801,66.178060,black,grey
8j_contig_43,32062,68.683883,black,grey
8j_contig_44,28328,74.522495,black,grey
8j_contig_45,26586,86.527406,black,grey
8j_contig_46,26199,70.429638,black,grey
8j_contig_47,23739,71.845237,black,grey
8j_contig_48,22651,72.018162,black,grey
8j_contig_49,21772,67.996727,black,grey
8j_contig_50,18518,68.983081,black,grey
8j_contig_51,18447,71.979042,black,grey
8j_contig_52,17377,76.205723,black,grey
8j_contig_53,15466,65.013841,black,grey
8j_contig_54,9610,73.512745,black,grey
8j_contig_55,8907,66.105889,black,grey
8j_contig_56,6803,66.917336,black,grey
8j_contig_57,5248,69.427190,black,grey
8j_contig_58,4603,72.879364,black,grey
8j_contig_59,4576,397.688597,black,grey
8j_contig_60,4528,76.889238,black,grey
8j_contig_61,4456,69.521580,black,grey
8j_contig_62,3786,75.959288,black,grey
8j_contig_63,3722,60.214540,black,grey
8j_contig_64,3565,70.382741,black,grey
8j_contig_65,3126,69.418170,black,grey
8j_contig_66,2966,56.686743,black,grey
8j_contig_67,1900,128.924849,black,grey
8j_contig_68,1615,99.933680,black,grey
8j_contig_69,1539,205.896717,black,grey
8j_contig_70,1384,129.511094,black,grey
8j_contig_71,1330,1566.723863,black,grey
8j_contig_72,1302,268.653061,black,grey
8j_contig_73,1217,125.708772,black,grey
8j_contig_74,1184,131.967480,black,grey
8j_contig_75,1145,100.061798,black,grey
8j_contig_76,1014,150.514408,black,grey
