ContigId,ContigLength,ContigCoverage,circle,fill
6b_contig_1,390057,53.002028,black,grey
6b_contig_2,385557,64.029916,black,grey
6b_contig_3,311615,55.431780,black,grey
6b_contig_4,277344,55.081268,black,grey
6b_contig_5,244666,53.249087,black,grey
6b_contig_6,243365,57.124749,black,grey
6b_contig_7,241452,50.671930,black,grey
6b_contig_8,224046,56.653390,black,grey
6b_contig_9,204248,49.422303,black,grey
6b_contig_10,182073,56.405448,black,grey
6b_contig_11,175399,54.970335,black,grey
6b_contig_12,172090,52.773901,black,grey
6b_contig_13,166367,56.532546,black,grey
6b_contig_14,154384,56.107960,black,grey
6b_contig_15,149245,54.243115,black,grey
6b_contig_16,149115,57.894450,black,grey
6b_contig_17,141757,55.013721,black,grey
6b_contig_18,139493,52.661144,black,grey
6b_contig_19,135076,56.280247,black,grey
6b_contig_20,130709,53.536645,black,grey
6b_contig_21,123834,58.581470,black,grey
6b_contig_22,115778,58.803364,black,grey
6b_contig_23,111549,64.104520,black,grey
6b_contig_24,107190,54.474714,black,grey
6b_contig_25,95010,55.160292,black,grey
6b_contig_26,94639,53.015270,black,grey
6b_contig_27,91517,58.711811,black,grey
6b_contig_28,87776,50.459925,black,grey
6b_contig_29,84662,58.313566,black,grey
6b_contig_30,80604,57.035156,black,grey
6b_contig_31,79618,53.340491,black,grey
6b_contig_32,70328,57.797199,black,grey
6b_contig_33,68182,56.069687,black,grey
6b_contig_34,65077,55.252200,black,grey
6b_contig_35,62267,57.913748,black,grey
6b_contig_36,61516,54.540536,black,grey
6b_contig_37,60354,59.476102,black,grey
6b_contig_38,54925,58.732242,black,grey
6b_contig_39,53151,61.029562,black,grey
6b_contig_40,50453,57.357234,black,grey
6b_contig_41,43808,54.203334,black,grey
6b_contig_42,38784,67.129124,black,grey
6b_contig_43,35813,56.216672,black,grey
6b_contig_44,32062,57.532093,black,grey
6b_contig_45,31067,59.237464,black,grey
6b_contig_46,27268,59.893862,black,grey
6b_contig_47,26586,73.961862,black,grey
6b_contig_48,26199,58.394648,black,grey
6b_contig_49,24895,58.714925,black,grey
6b_contig_50,23739,59.500972,black,grey
6b_contig_51,21772,53.543305,black,grey
6b_contig_52,21245,59.479261,black,grey
6b_contig_53,18912,56.251234,black,grey
6b_contig_54,18518,55.355187,black,grey
6b_contig_55,18447,56.033261,black,grey
6b_contig_56,17377,64.018092,black,grey
6b_contig_57,16893,51.988463,black,grey
6b_contig_58,15466,55.610891,black,grey
6b_contig_59,9610,64.382671,black,grey
6b_contig_60,8893,60.381579,black,grey
6b_contig_61,8727,56.346358,black,grey
6b_contig_62,5248,58.911042,black,grey
6b_contig_63,4603,60.702828,black,grey
6b_contig_64,4576,352.106024,black,grey
6b_contig_65,4528,63.980004,black,grey
6b_contig_66,4207,60.913559,black,grey
6b_contig_67,3786,59.747641,black,grey
6b_contig_68,3722,55.770919,black,grey
6b_contig_69,3126,59.538865,black,grey
6b_contig_70,2822,54.767942,black,grey
6b_contig_71,1900,104.429512,black,grey
6b_contig_72,1615,86.029259,black,grey
6b_contig_73,1384,108.944147,black,grey
6b_contig_74,1302,166.126531,black,grey
6b_contig_75,1217,116.671930,black,grey
6b_contig_76,1184,103.448961,black,grey
6b_contig_77,1161,118.769373,black,grey
6b_contig_78,1145,90.535581,black,grey
6b_contig_79,1121,122.868774,black,grey
6b_contig_80,1014,116.668090,black,grey
