ContigId,ContigLength,ContigCoverage,circle,fill
3e_contig_1,390361,56.776248,black,grey
3e_contig_2,323781,65.820747,black,grey
3e_contig_3,244666,56.576886,black,grey
3e_contig_4,243365,60.107704,black,grey
3e_contig_5,240218,59.208078,black,grey
3e_contig_6,223943,58.944261,black,grey
3e_contig_7,195821,57.946696,black,grey
3e_contig_8,173492,58.350956,black,grey
3e_contig_9,169950,57.848081,black,grey
3e_contig_10,166045,60.318405,black,grey
3e_contig_11,165929,54.979228,black,grey
3e_contig_12,160051,57.802818,black,grey
3e_contig_13,157671,54.628393,black,grey
3e_contig_14,149115,60.214616,black,grey
3e_contig_15,139493,56.379949,black,grey
3e_contig_16,134095,58.283656,black,grey
3e_contig_17,133227,57.513128,black,grey
3e_contig_18,132323,57.993505,black,grey
3e_contig_19,123832,60.443554,black,grey
3e_contig_20,123261,54.377241,black,grey
3e_contig_21,121476,62.036162,black,grey
3e_contig_22,116313,57.537063,black,grey
3e_contig_23,115778,59.861704,black,grey
3e_contig_24,111346,65.341865,black,grey
3e_contig_25,107191,59.576199,black,grey
3e_contig_26,95010,58.801249,black,grey
3e_contig_27,94639,56.622079,black,grey
3e_contig_28,91517,60.867159,black,grey
3e_contig_29,87968,54.527164,black,grey
3e_contig_30,84657,61.927737,black,grey
3e_contig_31,83492,63.111143,black,grey
3e_contig_32,80603,60.003303,black,grey
3e_contig_33,79618,58.839567,black,grey
3e_contig_34,72314,63.107037,black,grey
3e_contig_35,70420,60.390117,black,grey
3e_contig_36,68218,59.642418,black,grey
3e_contig_37,62910,57.258049,black,grey
3e_contig_38,62267,60.586364,black,grey
3e_contig_39,59407,60.040536,black,grey
3e_contig_40,54991,59.880650,black,grey
3e_contig_41,54391,60.996575,black,grey
3e_contig_42,50453,61.183798,black,grey
3e_contig_43,47758,63.763449,black,grey
3e_contig_44,47709,59.981609,black,grey
3e_contig_45,45512,62.181952,black,grey
3e_contig_46,43808,56.089296,black,grey
3e_contig_47,38578,55.315992,black,grey
3e_contig_48,35806,57.693050,black,grey
3e_contig_49,32807,57.248763,black,grey
3e_contig_50,32762,59.011596,black,grey
3e_contig_51,32159,61.564117,black,grey
3e_contig_52,30404,57.667095,black,grey
3e_contig_53,28639,63.038828,black,grey
3e_contig_54,28328,59.360660,black,grey
3e_contig_55,26586,77.490701,black,grey
3e_contig_56,26199,61.052676,black,grey
3e_contig_57,25911,66.804173,black,grey
3e_contig_58,24895,61.181401,black,grey
3e_contig_59,24065,59.962398,black,grey
3e_contig_60,23739,62.923295,black,grey
3e_contig_61,23231,58.700743,black,grey
3e_contig_62,22710,63.124199,black,grey
3e_contig_63,19661,59.113766,black,grey
3e_contig_64,18518,56.612006,black,grey
3e_contig_65,18447,60.047142,black,grey
3e_contig_66,17377,64.728382,black,grey
3e_contig_67,17137,59.181536,black,grey
3e_contig_68,13155,56.351353,black,grey
3e_contig_69,11771,56.399265,black,grey
3e_contig_70,9610,62.239379,black,grey
3e_contig_71,8887,59.710329,black,grey
3e_contig_72,6801,57.802350,black,grey
3e_contig_73,5248,56.516535,black,grey
3e_contig_74,4603,59.763367,black,grey
3e_contig_75,4528,63.358122,black,grey
3e_contig_76,3914,62.609591,black,grey
3e_contig_77,3786,60.617956,black,grey
3e_contig_78,3722,45.169822,black,grey
3e_contig_79,3126,62.916038,black,grey
3e_contig_80,2899,44.430191,black,grey
3e_contig_81,2418,320.305425,black,grey
3e_contig_82,1900,128.029073,black,grey
3e_contig_83,1615,89.522107,black,grey
3e_contig_84,1539,166.210670,black,grey
3e_contig_85,1384,110.480490,black,grey
3e_contig_86,1330,1300.761373,black,grey
3e_contig_87,1302,224.884898,black,grey
3e_contig_88,1217,113.001754,black,grey
3e_contig_89,1184,115.239386,black,grey
3e_contig_90,1145,97.044007,black,grey
3e_contig_91,1026,334.818757,black,grey
3e_contig_92,1014,130.778015,black,grey
