ContigId,ContigLength,ContigCoverage,circle,fill
6i_contig_1,447368,50.702827,black,grey
6i_contig_2,406974,58.977486,black,grey
6i_contig_3,311806,52.522399,black,grey
6i_contig_4,293455,54.849842,black,grey
6i_contig_5,244675,52.823175,black,grey
6i_contig_6,243333,55.584512,black,grey
6i_contig_7,242450,51.703288,black,grey
6i_contig_8,226351,56.370272,black,grey
6i_contig_9,201802,55.315881,black,grey
6i_contig_10,175331,53.100106,black,grey
6i_contig_11,172320,50.321836,black,grey
6i_contig_12,165941,52.884960,black,grey
6i_contig_13,159941,53.244602,black,grey
6i_contig_14,154384,55.336180,black,grey
6i_contig_15,149115,56.712939,black,grey
6i_contig_16,147968,53.310709,black,grey
6i_contig_17,139493,50.382352,black,grey
6i_contig_18,135076,53.887777,black,grey
6i_contig_19,130675,51.492243,black,grey
6i_contig_20,123834,58.504392,black,grey
6i_contig_21,121169,54.624087,black,grey
6i_contig_22,116294,53.916905,black,grey
6i_contig_23,115778,54.752621,black,grey
6i_contig_24,111305,58.849139,black,grey
6i_contig_25,107190,53.164658,black,grey
6i_contig_26,95066,56.826254,black,grey
6i_contig_27,94639,50.708160,black,grey
6i_contig_28,93307,54.391955,black,grey
6i_contig_29,91517,54.661877,black,grey
6i_contig_30,88268,48.972219,black,grey
6i_contig_31,82192,52.695244,black,grey
6i_contig_32,80604,53.702460,black,grey
6i_contig_33,79618,52.167033,black,grey
6i_contig_34,65062,52.676695,black,grey
6i_contig_35,62267,54.781347,black,grey
6i_contig_36,61516,52.836098,black,grey
6i_contig_37,54891,56.859580,black,grey
6i_contig_38,53756,51.581550,black,grey
6i_contig_39,50453,54.072892,black,grey
6i_contig_40,47758,61.519599,black,grey
6i_contig_41,43808,53.487915,black,grey
6i_contig_42,38784,39.411347,black,grey
6i_contig_43,32122,54.709970,black,grey
6i_contig_44,28328,59.506283,black,grey
6i_contig_45,27200,58.659920,black,grey
6i_contig_46,26586,70.848429,black,grey
6i_contig_47,26199,57.124301,black,grey
6i_contig_48,23739,59.535796,black,grey
6i_contig_49,23514,57.710884,black,grey
6i_contig_50,21772,52.032358,black,grey
6i_contig_51,18751,50.500375,black,grey
6i_contig_52,18518,51.992679,black,grey
6i_contig_53,18447,56.037997,black,grey
6i_contig_54,17378,61.703717,black,grey
6i_contig_55,15466,54.580350,black,grey
6i_contig_56,14362,52.146657,black,grey
6i_contig_57,13739,54.521959,black,grey
6i_contig_58,12974,52.172908,black,grey
6i_contig_59,9610,58.575684,black,grey
6i_contig_60,8935,55.860352,black,grey
6i_contig_61,6801,54.306811,black,grey
6i_contig_62,5248,54.627538,black,grey
6i_contig_63,4836,51.508090,black,grey
6i_contig_64,4603,57.206584,black,grey
6i_contig_65,4528,57.398562,black,grey
6i_contig_66,3786,58.940685,black,grey
6i_contig_67,3722,47.457888,black,grey
6i_contig_68,3516,58.571387,black,grey
6i_contig_69,3126,58.163660,black,grey
6i_contig_70,2909,47.795198,black,grey
6i_contig_71,2132,376.231144,black,grey
6i_contig_72,2114,333.205695,black,grey
6i_contig_73,1900,110.402084,black,grey
6i_contig_74,1684,37.181083,black,grey
6i_contig_75,1615,82.147594,black,grey
6i_contig_76,1384,100.101760,black,grey
6i_contig_77,1302,226.716735,black,grey
6i_contig_78,1217,111.992105,black,grey
6i_contig_79,1184,109.246612,black,grey
6i_contig_80,1145,89.636704,black,grey
6i_contig_81,1121,115.579502,black,grey
6i_contig_82,1014,114.105656,black,grey
