ContigId,ContigLength,ContigCoverage,circle,fill
1d_contig_1,268472,29.181911,black,grey
1d_contig_2,244303,30.105030,black,grey
1d_contig_3,241453,27.169263,black,grey
1d_contig_4,221972,30.428991,black,grey
1d_contig_5,182217,29.251845,black,grey
1d_contig_6,166156,29.953113,black,grey
1d_contig_7,154384,32.720149,black,grey
1d_contig_8,149116,28.679554,black,grey
1d_contig_9,147884,30.877360,black,grey
1d_contig_10,147642,31.519547,black,grey
1d_contig_11,146214,30.196966,black,grey
1d_contig_12,132852,29.901186,black,grey
1d_contig_13,130863,28.502156,black,grey
1d_contig_14,128270,29.952525,black,grey
1d_contig_15,123834,32.187690,black,grey
1d_contig_16,122920,32.805776,black,grey
1d_contig_17,121133,29.987254,black,grey
1d_contig_18,116312,30.641407,black,grey
1d_contig_19,115973,30.244279,black,grey
1d_contig_20,115781,27.627800,black,grey
1d_contig_21,115778,29.099558,black,grey
1d_contig_22,110825,30.330751,black,grey
1d_contig_23,110693,31.097047,black,grey
1d_contig_24,107196,30.030041,black,grey
1d_contig_25,105813,28.205474,black,grey
1d_contig_26,95782,29.957536,black,grey
1d_contig_27,95010,30.429039,black,grey
1d_contig_28,94636,28.528940,black,grey
1d_contig_29,91516,29.413259,black,grey
1d_contig_30,89733,28.718379,black,grey
1d_contig_31,88426,31.262301,black,grey
1d_contig_32,86890,25.952139,black,grey
1d_contig_33,85866,25.802142,black,grey
1d_contig_34,84352,30.628526,black,grey
1d_contig_35,80602,30.370444,black,grey
1d_contig_36,79618,29.976151,black,grey
1d_contig_37,78598,27.967856,black,grey
1d_contig_38,73508,33.125315,black,grey
1d_contig_39,66834,31.529652,black,grey
1d_contig_40,62267,29.946680,black,grey
1d_contig_41,61515,30.548146,black,grey
1d_contig_42,61289,30.626201,black,grey
1d_contig_43,61118,33.850510,black,grey
1d_contig_44,59743,29.840630,black,grey
1d_contig_45,59618,35.220671,black,grey
1d_contig_46,57064,30.901504,black,grey
1d_contig_47,57021,29.619907,black,grey
1d_contig_48,54890,32.271286,black,grey
1d_contig_49,50453,25.875893,black,grey
1d_contig_50,47792,35.268197,black,grey
1d_contig_51,43977,30.399795,black,grey
1d_contig_52,43808,30.768631,black,grey
1d_contig_53,43376,27.317698,black,grey
1d_contig_54,38286,31.217750,black,grey
1d_contig_55,37521,29.705213,black,grey
1d_contig_56,36033,16.596006,black,grey
1d_contig_57,35808,30.073801,black,grey
1d_contig_58,31948,29.938000,black,grey
1d_contig_59,31642,28.239094,black,grey
1d_contig_60,29416,15.727905,black,grey
1d_contig_61,29320,31.318777,black,grey
1d_contig_62,28328,34.913844,black,grey
1d_contig_63,26199,31.564428,black,grey
1d_contig_64,24694,29.257830,black,grey
1d_contig_65,24606,30.667577,black,grey
1d_contig_66,24517,30.722709,black,grey
1d_contig_67,23739,33.143141,black,grey
1d_contig_68,23425,30.261778,black,grey
1d_contig_69,23321,27.411762,black,grey
1d_contig_70,22963,31.094075,black,grey
1d_contig_71,22695,32.342294,black,grey
1d_contig_72,21774,30.198368,black,grey
1d_contig_73,21198,31.275271,black,grey
1d_contig_74,18913,40.885698,black,grey
1d_contig_75,18518,29.065994,black,grey
1d_contig_76,17995,33.303438,black,grey
1d_contig_77,17377,33.872370,black,grey
1d_contig_78,15678,30.210692,black,grey
1d_contig_79,15634,33.612843,black,grey
1d_contig_80,9610,34.660757,black,grey
1d_contig_81,9249,55.703554,black,grey
1d_contig_82,8909,34.072124,black,grey
1d_contig_83,8672,14.933682,black,grey
1d_contig_84,7969,15.348961,black,grey
1d_contig_85,7826,35.072913,black,grey
1d_contig_86,7663,28.506327,black,grey
1d_contig_87,6906,36.500805,black,grey
1d_contig_88,6803,31.511151,black,grey
1d_contig_89,5440,31.295544,black,grey
1d_contig_90,5248,31.291820,black,grey
1d_contig_91,5127,29.894455,black,grey
1d_contig_92,4603,33.044189,black,grey
1d_contig_93,4570,33.384598,black,grey
1d_contig_94,4528,31.961357,black,grey
1d_contig_95,4006,28.228811,black,grey
1d_contig_96,3786,30.239148,black,grey
1d_contig_97,3237,175.211709,black,grey
1d_contig_98,3126,31.284356,black,grey
1d_contig_99,2913,26.928420,black,grey
1d_contig_100,2465,16.592546,black,grey
1d_contig_101,2182,32.616152,black,grey
1d_contig_102,1989,193.088389,black,grey
1d_contig_103,1900,59.278113,black,grey
1d_contig_104,1615,48.716515,black,grey
1d_contig_105,1470,23.603733,black,grey
1d_contig_106,1384,59.192808,black,grey
1d_contig_107,1303,32.756933,black,grey
1d_contig_108,1302,126.479184,black,grey
1d_contig_109,1217,67.527193,black,grey
1d_contig_110,1184,61.807588,black,grey
1d_contig_111,1145,51.280899,black,grey
1d_contig_112,1128,1032.006660,black,grey
1d_contig_113,1121,70.220307,black,grey
1d_contig_114,1076,33.376376,black,grey
1d_contig_115,1014,67.051227,black,grey
