ContigId,ContigLength,ContigCoverage,circle,fill
5c_contig_1,612128,48.506608,black,grey
5c_contig_2,390480,45.396224,black,grey
5c_contig_3,311864,45.020517,black,grey
5c_contig_4,268749,42.311636,black,grey
5c_contig_5,243130,46.936199,black,grey
5c_contig_6,216200,46.601546,black,grey
5c_contig_7,201178,48.459297,black,grey
5c_contig_8,190887,44.980378,black,grey
5c_contig_9,178101,43.672943,black,grey
5c_contig_10,175163,44.662006,black,grey
5c_contig_11,172090,44.324696,black,grey
5c_contig_12,166368,46.032221,black,grey
5c_contig_13,165723,45.027661,black,grey
5c_contig_14,159983,45.677942,black,grey
5c_contig_15,156296,46.539134,black,grey
5c_contig_16,154384,46.952387,black,grey
5c_contig_17,139493,44.710887,black,grey
5c_contig_18,130679,44.481930,black,grey
5c_contig_19,121053,52.449792,black,grey
5c_contig_20,116383,46.339682,black,grey
5c_contig_21,115778,47.726666,black,grey
5c_contig_22,107196,46.041963,black,grey
5c_contig_23,105962,44.381555,black,grey
5c_contig_24,95010,45.637018,black,grey
5c_contig_25,94636,43.944342,black,grey
5c_contig_26,91516,46.600532,black,grey
5c_contig_27,89766,45.766504,black,grey
5c_contig_28,88467,46.978120,black,grey
5c_contig_29,88440,47.340731,black,grey
5c_contig_30,84635,48.101895,black,grey
5c_contig_31,83567,47.500874,black,grey
5c_contig_32,80604,46.917444,black,grey
5c_contig_33,79538,46.827890,black,grey
5c_contig_34,78766,51.730954,black,grey
5c_contig_35,68166,44.093451,black,grey
5c_contig_36,67635,46.217102,black,grey
5c_contig_37,65049,44.296989,black,grey
5c_contig_38,62267,48.600016,black,grey
5c_contig_39,61516,44.557968,black,grey
5c_contig_40,52960,49.193692,black,grey
5c_contig_41,51085,46.470593,black,grey
5c_contig_42,47815,50.933009,black,grey
5c_contig_43,44639,58.250168,black,grey
5c_contig_44,44089,49.953058,black,grey
5c_contig_45,43710,45.185639,black,grey
5c_contig_46,40363,49.844834,black,grey
5c_contig_47,35816,46.099667,black,grey
5c_contig_48,30449,41.778546,black,grey
5c_contig_49,28328,49.137977,black,grey
5c_contig_50,26199,49.035066,black,grey
5c_contig_51,23739,48.447426,black,grey
5c_contig_52,21772,47.185941,black,grey
5c_contig_53,21691,45.079208,black,grey
5c_contig_54,19107,55.117656,black,grey
5c_contig_55,18913,62.543905,black,grey
5c_contig_56,18518,45.349656,black,grey
5c_contig_57,17377,51.025780,black,grey
5c_contig_58,15466,44.600559,black,grey
5c_contig_59,9610,46.969265,black,grey
5c_contig_60,8887,47.189784,black,grey
5c_contig_61,8823,48.332724,black,grey
5c_contig_62,7828,51.859373,black,grey
5c_contig_63,6906,48.591448,black,grey
5c_contig_64,6801,45.227692,black,grey
5c_contig_65,5248,44.558886,black,grey
5c_contig_66,4726,51.057217,black,grey
5c_contig_67,4603,48.451834,black,grey
5c_contig_68,4576,282.678818,black,grey
5c_contig_69,4085,53.147954,black,grey
5c_contig_70,4006,46.558921,black,grey
5c_contig_71,3786,48.344028,black,grey
5c_contig_72,3126,46.357166,black,grey
5c_contig_73,2833,41.085269,black,grey
5c_contig_74,2480,51.963379,black,grey
5c_contig_75,1900,97.543061,black,grey
5c_contig_76,1507,37.016783,black,grey
5c_contig_77,1495,43.684062,black,grey
5c_contig_78,1384,81.863810,black,grey
5c_contig_79,1302,189.154286,black,grey
5c_contig_80,1217,79.395614,black,grey
5c_contig_81,1184,86.944896,black,grey
5c_contig_82,1173,98.613139,black,grey
5c_contig_83,1145,70.018727,black,grey
5c_contig_84,1121,117.822797,black,grey
5c_contig_85,1014,98.159018,black,grey
