ContigId,ContigLength,ContigCoverage,circle,fill
7h_contig_1,447368,56.513232,black,grey
7h_contig_2,390337,57.154666,black,grey
7h_contig_3,325408,63.818210,black,grey
7h_contig_4,311839,60.977149,black,grey
7h_contig_5,277742,60.871968,black,grey
7h_contig_6,244666,58.230476,black,grey
7h_contig_7,243365,64.039451,black,grey
7h_contig_8,226351,64.408872,black,grey
7h_contig_9,222782,61.695602,black,grey
7h_contig_10,203932,67.777670,black,grey
7h_contig_11,172090,56.314313,black,grey
7h_contig_12,166043,63.005561,black,grey
7h_contig_13,154384,60.642421,black,grey
7h_contig_14,149115,67.034488,black,grey
7h_contig_15,146390,60.659094,black,grey
7h_contig_16,135085,61.389644,black,grey
7h_contig_17,133262,58.731051,black,grey
7h_contig_18,130710,57.666807,black,grey
7h_contig_19,123832,66.677144,black,grey
7h_contig_20,115778,68.448924,black,grey
7h_contig_21,115244,55.581260,black,grey
7h_contig_22,112468,72.599585,black,grey
7h_contig_23,107190,60.708009,black,grey
7h_contig_24,95010,60.212487,black,grey
7h_contig_25,94636,57.233473,black,grey
7h_contig_26,93782,82.161816,black,grey
7h_contig_27,88217,55.213569,black,grey
7h_contig_28,87406,70.632253,black,grey
7h_contig_29,83449,65.276364,black,grey
7h_contig_30,82036,65.024158,black,grey
7h_contig_31,80604,61.622400,black,grey
7h_contig_32,79618,58.314002,black,grey
7h_contig_33,70459,65.573030,black,grey
7h_contig_34,68190,63.097250,black,grey
7h_contig_35,65619,64.702984,black,grey
7h_contig_36,65062,59.808248,black,grey
7h_contig_37,62267,64.598263,black,grey
7h_contig_38,61516,60.246765,black,grey
7h_contig_39,50453,68.174944,black,grey
7h_contig_40,47758,68.367757,black,grey
7h_contig_41,43806,59.762423,black,grey
7h_contig_42,37743,84.338342,black,grey
7h_contig_43,35778,61.601132,black,grey
7h_contig_44,32787,58.556558,black,grey
7h_contig_45,32327,83.398357,black,grey
7h_contig_46,29935,88.260567,black,grey
7h_contig_47,29317,63.878830,black,grey
7h_contig_48,28642,66.769963,black,grey
7h_contig_49,28328,65.939648,black,grey
7h_contig_50,26586,81.554755,black,grey
7h_contig_51,26199,67.836153,black,grey
7h_contig_52,24895,65.665646,black,grey
7h_contig_53,24458,74.124318,black,grey
7h_contig_54,23739,66.562674,black,grey
7h_contig_55,23321,58.088883,black,grey
7h_contig_56,21772,59.626181,black,grey
7h_contig_57,18518,57.468033,black,grey
7h_contig_58,18446,64.198214,black,grey
7h_contig_59,17377,66.487861,black,grey
7h_contig_60,16937,72.270344,black,grey
7h_contig_61,15466,60.344727,black,grey
7h_contig_62,9610,65.649533,black,grey
7h_contig_63,9115,61.280372,black,grey
7h_contig_64,8887,63.928717,black,grey
7h_contig_65,6801,60.607971,black,grey
7h_contig_66,5763,80.969223,black,grey
7h_contig_67,5248,60.795397,black,grey
7h_contig_68,4603,70.763809,black,grey
7h_contig_69,4528,67.385981,black,grey
7h_contig_70,4445,93.419414,black,grey
7h_contig_71,3786,63.550013,black,grey
7h_contig_72,3722,55.215912,black,grey
7h_contig_73,3126,65.772056,black,grey
7h_contig_74,2887,53.027402,black,grey
7h_contig_75,2362,434.804376,black,grey
7h_contig_76,2114,373.964163,black,grey
7h_contig_77,1900,120.343390,black,grey
7h_contig_78,1615,85.791938,black,grey
7h_contig_79,1452,157.040000,black,grey
7h_contig_80,1384,121.814078,black,grey
7h_contig_81,1302,242.609796,black,grey
7h_contig_82,1217,118.314912,black,grey
7h_contig_83,1184,120.608853,black,grey
7h_contig_84,1145,92.374532,black,grey
7h_contig_85,1014,129.180363,black,grey
