ContigId,ContigLength,ContigCoverage,circle,fill
7a_contig_1,385477,81.432335,black,grey
7a_contig_2,329070,75.214187,black,grey
7a_contig_3,293423,76.689084,black,grey
7a_contig_4,285778,72.639140,black,grey
7a_contig_5,225316,69.206856,black,grey
7a_contig_6,190921,75.239447,black,grey
7a_contig_7,172090,73.580026,black,grey
7a_contig_8,164429,74.793097,black,grey
7a_contig_9,159844,76.149123,black,grey
7a_contig_10,157793,72.783782,black,grey
7a_contig_11,154386,81.325218,black,grey
7a_contig_12,147708,78.447067,black,grey
7a_contig_13,146314,75.170258,black,grey
7a_contig_14,141791,78.626007,black,grey
7a_contig_15,135076,78.502507,black,grey
7a_contig_16,133338,80.817291,black,grey
7a_contig_17,130803,72.404350,black,grey
7a_contig_18,129078,76.880590,black,grey
7a_contig_19,116373,77.051352,black,grey
7a_contig_20,115778,82.097346,black,grey
7a_contig_21,115244,73.383452,black,grey
7a_contig_22,107189,76.161812,black,grey
7a_contig_23,95802,75.624946,black,grey
7a_contig_24,95267,81.881427,black,grey
7a_contig_25,95010,77.160092,black,grey
7a_contig_26,91520,78.936769,black,grey
7a_contig_27,91184,77.367710,black,grey
7a_contig_28,89786,71.949949,black,grey
7a_contig_29,87775,72.156697,black,grey
7a_contig_30,84635,81.502815,black,grey
7a_contig_31,81332,87.812861,black,grey
7a_contig_32,80602,77.150761,black,grey
7a_contig_33,79618,74.038031,black,grey
7a_contig_34,78819,79.104366,black,grey
7a_contig_35,73305,75.899997,black,grey
7a_contig_36,68167,74.214407,black,grey
7a_contig_37,67645,79.476897,black,grey
7a_contig_38,65172,74.508580,black,grey
7a_contig_39,63752,69.686486,black,grey
7a_contig_40,62267,79.876668,black,grey
7a_contig_41,61514,74.562332,black,grey
7a_contig_42,57453,84.297546,black,grey
7a_contig_43,50453,80.731678,black,grey
7a_contig_44,47757,86.849560,black,grey
7a_contig_45,47537,80.312326,black,grey
7a_contig_46,44351,78.888038,black,grey
7a_contig_47,43807,76.663137,black,grey
7a_contig_48,42654,80.727036,black,grey
7a_contig_49,38789,98.734449,black,grey
7a_contig_50,36677,107.547459,black,grey
7a_contig_51,35824,76.484796,black,grey
7a_contig_52,31988,77.171164,black,grey
7a_contig_53,29317,79.875000,black,grey
7a_contig_54,28664,76.758352,black,grey
7a_contig_55,28409,77.705598,black,grey
7a_contig_56,28327,85.432814,black,grey
7a_contig_57,26586,99.360444,black,grey
7a_contig_58,26199,83.208330,black,grey
7a_contig_59,25911,78.425989,black,grey
7a_contig_60,24476,85.236198,black,grey
7a_contig_61,23739,77.462302,black,grey
7a_contig_62,23322,73.182147,black,grey
7a_contig_63,21772,76.726942,black,grey
7a_contig_64,21321,79.600923,black,grey
7a_contig_65,18887,71.799787,black,grey
7a_contig_66,18557,75.763961,black,grey
7a_contig_67,18518,76.423730,black,grey
7a_contig_68,18447,81.268699,black,grey
7a_contig_69,15932,91.322296,black,grey
7a_contig_70,15466,83.052960,black,grey
7a_contig_71,14435,79.019292,black,grey
7a_contig_72,9610,83.942725,black,grey
7a_contig_73,9548,76.201879,black,grey
7a_contig_74,8933,80.183153,black,grey
7a_contig_75,6801,80.916568,black,grey
7a_contig_76,5249,76.902746,black,grey
7a_contig_77,4603,83.956695,black,grey
7a_contig_78,4576,463.786175,black,grey
7a_contig_79,4530,86.133393,black,grey
7a_contig_80,3786,83.585603,black,grey
7a_contig_81,3722,86.933333,black,grey
7a_contig_82,3432,83.163338,black,grey
7a_contig_83,3126,82.179731,black,grey
7a_contig_84,2205,74.175282,black,grey
7a_contig_85,1900,141.247943,black,grey
7a_contig_86,1615,117.192458,black,grey
7a_contig_87,1494,63.247001,black,grey
7a_contig_88,1384,146.110941,black,grey
7a_contig_89,1330,1974.220271,black,grey
7a_contig_90,1302,325.422857,black,grey
7a_contig_91,1217,157.307895,black,grey
7a_contig_92,1184,149.199639,black,grey
7a_contig_93,1145,119.780899,black,grey
7a_contig_94,1121,190.099617,black,grey
7a_contig_95,1055,72.431493,black,grey
7a_contig_96,1052,79.462564,black,grey
7a_contig_97,1041,98.204357,black,grey
7a_contig_98,1014,162.148346,black,grey
