ContigId,ContigLength,ContigCoverage,circle,fill
7f_contig_1,390354,61.755333,black,grey
7f_contig_2,294010,66.908197,black,grey
7f_contig_3,268424,61.627173,black,grey
7f_contig_4,244402,61.829702,black,grey
7f_contig_5,241453,59.848531,black,grey
7f_contig_6,226385,61.783821,black,grey
7f_contig_7,223484,63.119195,black,grey
7f_contig_8,204244,58.241831,black,grey
7f_contig_9,175475,61.140076,black,grey
7f_contig_10,172574,62.453040,black,grey
7f_contig_11,163832,61.783726,black,grey
7f_contig_12,161389,62.638638,black,grey
7f_contig_13,154384,64.349161,black,grey
7f_contig_14,147691,63.696289,black,grey
7f_contig_15,139498,61.476105,black,grey
7f_contig_16,130805,60.842666,black,grey
7f_contig_17,123834,64.489944,black,grey
7f_contig_18,123253,63.358601,black,grey
7f_contig_19,122946,66.348607,black,grey
7f_contig_20,121053,69.146203,black,grey
7f_contig_21,115778,63.742725,black,grey
7f_contig_22,111346,65.633501,black,grey
7f_contig_23,107196,62.066235,black,grey
7f_contig_24,105814,61.544076,black,grey
7f_contig_25,103635,60.147483,black,grey
7f_contig_26,95802,62.039070,black,grey
7f_contig_27,95010,63.343474,black,grey
7f_contig_28,94636,60.347973,black,grey
7f_contig_29,91516,63.359223,black,grey
7f_contig_30,90570,64.046335,black,grey
7f_contig_31,89923,63.814939,black,grey
7f_contig_32,88300,63.210229,black,grey
7f_contig_33,80647,62.346419,black,grey
7f_contig_34,80604,63.725968,black,grey
7f_contig_35,78598,59.966786,black,grey
7f_contig_36,75388,62.953592,black,grey
7f_contig_37,68233,60.293532,black,grey
7f_contig_38,62267,64.243592,black,grey
7f_contig_39,61516,61.667817,black,grey
7f_contig_40,59743,62.148728,black,grey
7f_contig_41,54925,64.184218,black,grey
7f_contig_42,53039,65.044390,black,grey
7f_contig_43,50974,64.885789,black,grey
7f_contig_44,50453,63.598837,black,grey
7f_contig_45,47792,69.082720,black,grey
7f_contig_46,45539,61.279046,black,grey
7f_contig_47,44087,44.674301,black,grey
7f_contig_48,43808,62.204660,black,grey
7f_contig_49,43335,59.125988,black,grey
7f_contig_50,35853,62.669248,black,grey
7f_contig_51,32399,45.644515,black,grey
7f_contig_52,28328,68.676401,black,grey
7f_contig_53,27226,65.690375,black,grey
7f_contig_54,26199,65.068180,black,grey
7f_contig_55,24517,62.175041,black,grey
7f_contig_56,23739,64.553081,black,grey
7f_contig_57,22969,62.420715,black,grey
7f_contig_58,21772,64.169440,black,grey
7f_contig_59,20945,67.960082,black,grey
7f_contig_60,18913,79.720057,black,grey
7f_contig_61,18518,61.419608,black,grey
7f_contig_62,18258,115.258842,black,grey
7f_contig_63,17377,68.311387,black,grey
7f_contig_64,15466,63.189096,black,grey
7f_contig_65,12131,62.950888,black,grey
7f_contig_66,9610,65.025910,black,grey
7f_contig_67,8862,61.429482,black,grey
7f_contig_68,8823,41.120855,black,grey
7f_contig_69,7826,72.049813,black,grey
7f_contig_70,6906,66.315859,black,grey
7f_contig_71,6801,64.327037,black,grey
7f_contig_72,5699,382.514052,black,grey
7f_contig_73,5440,60.139474,black,grey
7f_contig_74,5248,65.381551,black,grey
7f_contig_75,4869,59.815943,black,grey
7f_contig_76,4603,61.348431,black,grey
7f_contig_77,4528,66.974163,black,grey
7f_contig_78,3786,68.610946,black,grey
7f_contig_79,3735,71.838436,black,grey
7f_contig_80,3126,62.940964,black,grey
7f_contig_81,2997,61.028082,black,grey
7f_contig_82,2182,66.722565,black,grey
7f_contig_83,1900,120.684586,black,grey
7f_contig_84,1615,91.042263,black,grey
7f_contig_85,1384,116.142311,black,grey
7f_contig_86,1302,250.787755,black,grey
7f_contig_87,1217,115.801754,black,grey
7f_contig_88,1184,108.228546,black,grey
7f_contig_89,1145,99.704120,black,grey
7f_contig_90,1121,147.020115,black,grey
7f_contig_91,1014,129.918890,black,grey
