ContigId,ContigLength,ContigCoverage,circle,fill
1g_contig_1,407670,48.846543,black,grey
1g_contig_2,390333,54.499803,black,grey
1g_contig_3,361516,55.085196,black,grey
1g_contig_4,293405,50.894221,black,grey
1g_contig_5,243309,53.454476,black,grey
1g_contig_6,173793,52.811624,black,grey
1g_contig_7,173220,51.279751,black,grey
1g_contig_8,172090,50.512862,black,grey
1g_contig_9,170095,50.217189,black,grey
1g_contig_10,166366,51.671500,black,grey
1g_contig_11,161406,53.295520,black,grey
1g_contig_12,156823,53.446174,black,grey
1g_contig_13,149115,51.491197,black,grey
1g_contig_14,146314,53.588100,black,grey
1g_contig_15,141747,54.742366,black,grey
1g_contig_16,139493,50.746952,black,grey
1g_contig_17,135100,56.087459,black,grey
1g_contig_18,123834,59.262692,black,grey
1g_contig_19,116368,54.026872,black,grey
1g_contig_20,115778,51.398424,black,grey
1g_contig_21,112989,50.355162,black,grey
1g_contig_22,111346,53.823751,black,grey
1g_contig_23,107190,52.799053,black,grey
1g_contig_24,96866,54.050595,black,grey
1g_contig_25,95010,54.000232,black,grey
1g_contig_26,94639,50.982667,black,grey
1g_contig_27,91517,49.777297,black,grey
1g_contig_28,87526,49.660282,black,grey
1g_contig_29,79618,53.502445,black,grey
1g_contig_30,70625,58.524168,black,grey
1g_contig_31,70345,57.696462,black,grey
1g_contig_32,69406,53.386851,black,grey
1g_contig_33,68173,47.996608,black,grey
1g_contig_34,67203,55.622933,black,grey
1g_contig_35,62267,52.610886,black,grey
1g_contig_36,61516,54.974593,black,grey
1g_contig_37,55016,56.127614,black,grey
1g_contig_38,51886,55.588006,black,grey
1g_contig_39,50453,47.382365,black,grey
1g_contig_40,50149,51.998123,black,grey
1g_contig_41,49163,50.354480,black,grey
1g_contig_42,47863,55.997740,black,grey
1g_contig_43,43808,53.702774,black,grey
1g_contig_44,39112,53.869732,black,grey
1g_contig_45,38784,41.398584,black,grey
1g_contig_46,36465,51.426734,black,grey
1g_contig_47,35778,53.882888,black,grey
1g_contig_48,34742,63.692658,black,grey
1g_contig_49,32027,59.294491,black,grey
1g_contig_50,30530,53.650281,black,grey
1g_contig_51,29392,56.435340,black,grey
1g_contig_52,28908,49.224793,black,grey
1g_contig_53,28633,51.878029,black,grey
1g_contig_54,28328,60.515132,black,grey
1g_contig_55,28228,52.463181,black,grey
1g_contig_56,27201,57.160301,black,grey
1g_contig_57,26586,66.160512,black,grey
1g_contig_58,26199,55.812419,black,grey
1g_contig_59,24895,56.441776,black,grey
1g_contig_60,24474,56.643563,black,grey
1g_contig_61,23739,56.641155,black,grey
1g_contig_62,21941,51.282839,black,grey
1g_contig_63,21772,53.641945,black,grey
1g_contig_64,18518,51.177973,black,grey
1g_contig_65,18493,52.385860,black,grey
1g_contig_66,18447,57.783941,black,grey
1g_contig_67,17584,57.970183,black,grey
1g_contig_68,17377,59.621098,black,grey
1g_contig_69,15466,53.701280,black,grey
1g_contig_70,13660,51.013105,black,grey
1g_contig_71,13205,58.289229,black,grey
1g_contig_72,11189,52.897228,black,grey
1g_contig_73,9610,56.842547,black,grey
1g_contig_74,8875,57.365083,black,grey
1g_contig_75,8121,55.369841,black,grey
1g_contig_76,6790,54.787278,black,grey
1g_contig_77,5248,55.556952,black,grey
1g_contig_78,4603,63.590146,black,grey
1g_contig_79,4528,50.456302,black,grey
1g_contig_80,3786,58.005123,black,grey
1g_contig_81,3722,47.106173,black,grey
1g_contig_82,3126,50.884552,black,grey
1g_contig_83,2888,45.307008,black,grey
1g_contig_84,2833,293.031930,black,grey
1g_contig_85,1900,104.160724,black,grey
1g_contig_86,1615,78.695059,black,grey
1g_contig_87,1529,46.313361,black,grey
1g_contig_88,1384,102.567712,black,grey
1g_contig_89,1330,1291.164405,black,grey
1g_contig_90,1302,231.886531,black,grey
1g_contig_91,1217,108.030702,black,grey
1g_contig_92,1184,103.117435,black,grey
1g_contig_93,1145,88.581461,black,grey
1g_contig_94,1132,269.174408,black,grey
1g_contig_95,1121,135.990421,black,grey
1g_contig_96,1022,254.765079,black,grey
1g_contig_97,1014,108.828175,black,grey
